address,lat,lon
Belle Rive Medicentre,53.6294714,-113.4664902
Belmont Medicentre,53.5997020,-113.3876730
Capilano Medicentre,53.5429020,-113.4168520
Castledowns Medicentre,53.6132705,-113.5153963
Downtown Medicentre,53.5406632,-113.5257086
Ellerslie Medicentre,53.4257363,-113.4775366
Heritage Village Medicentre,53.4521590,-113.5137309
Hermitage Medicentre,53.5866260,-113.4170100
Kingsway Medicentre,53.5569503,-113.5015099
Londonderry Medicentre,53.6002600,-113.4417240
McKenney Medicentre,53.6423610,-113.6275460
Millwoods Medicentre,53.4597640,-113.4299700
Pleasantview Medicentre,53.4894467,-113.5149797
Riverbend Medicentre,53.4688796,-113.5892330
Sherwood Park Medicentre,53.5417810,-113.3067030
Westgate Medicentre,53.5324040,-113.6035910
Westgrove Medicentre,53.5438700,-113.5661500
